Route , Signal_start , Signal_end , Direction , netElements , switch , platform , crossing
R_01 , S02 , S17 , >> , ne13-ne13 ,  , Plat13 , Lc08
R_02 , S04 , S15 , << , ne14-ne14 ,  , Plat11 , 
R_03 , S06 , S26 , << , ne15-ne15 ,  ,  , 
R_04 , S11 , S09 , >> , ne22-ne22 ,  ,  , 
R_05 , S12 , S18 , << , ne22-ne8 , Sw12_N ,  , 
R_06 , S13 , S22 , >> , ne23-ne12 , Sw13_N ,  , 
R_07 , S15 , S07 , << , ne14-ne1 , Sw04_R-Sw07_R ,  , Lc06
R_08 , S17 , S08 , >> , ne13-ne2 , Sw06_R ,  , 
R_09 , S18 , S07 , << , ne8-ne1 , Sw04_N ,  , 
R_10 , S19 , S29 , >> , ne1-ne8 , Sw04_N ,  , 
R_11 , S19 , S03 , >> , ne1-ne14 , Sw04_R-Sw07_R , Plat11 , Lc06
R_12 , S19 , S05 , >> , ne1-ne15 , Sw04_R-Sw07_N ,  , 
R_13 , S22 , S08 , >> , ne12-ne2 , Sw06_N ,  , 
R_14 , S24 , S32 , << , ne2-ne12 , Sw06_N ,  , 
R_15 , S24 , S01 , << , ne2-ne13 , Sw06_R , Plat13 , Lc08
R_16 , S26 , S07 , << , ne15-ne1 , Sw04_R-Sw07_N ,  , 
R_17 , S29 , S11 , >> , ne8-ne22 , Sw12_N ,  , 
R_18 , S29 , S22 , >> , ne8-ne12 , Sw12_R-Sw13_R ,  , 
R_19 , S32 , S14 , << , ne12-ne23 , Sw13_N ,  , 
R_20 , S32 , S18 , << , ne12-ne8 , Sw12_R-Sw13_R ,  , 
