Route , Signal_start , Signal_end , Direction , netElements , switch , platform , crossing
R_01 , S02 , S78 , >> , ne1-ne1 ,  ,  , 
R_02 , S06 , S43 , >> , ne7-ne7 ,  ,  , 
R_03 , S08 , S77 , >> , ne14-ne77 ,  ,  , 
R_04 , S10 , S100 , >> , ne41-ne32 ,  ,  , 
R_05 , S10 , S105 , >> , ne41-ne44 ,  ,  , 
R_06 , S12 , S29 , >> , ne47-ne48 ,  ,  , 
R_07 , S14 , S100 , >> , ne84-ne32 ,  ,  , 
R_08 , S14 , S105 , >> , ne84-ne44 ,  ,  , 
R_09 , S16 , S17 , >> , ne86-ne88 ,  ,  , 
R_10 , S16 , S97 , >> , ne86-ne30 ,  ,  , 
R_11 , S18 , S15 , << , ne88-ne86 ,  ,  , 
R_12 , S20 , S97 , >> , ne89-ne30 ,  ,  , 
R_13 , S22 , S97 , >> , ne90-ne30 ,  ,  , 
R_14 , S24 , S70 , << , ne105-ne96 ,  ,  , 
R_15 , S25 , S42 , << , ne4-ne106 ,  ,  , 
R_16 , S27 , S30 , << , ne26-ne65 ,  ,  , 
R_17 , S28 , S40 , << , ne44-ne101 ,  ,  , 
R_18 , S30 , S104 , << , ne65-ne102 ,  ,  , 
R_19 , S32 , S73 , >> , [-] , [-'-s-w-0-3-'-] ,  , 
R_20 , S33 , S34 , >> , ne78-ne93 ,  ,  , 
R_21 , S34 , S71 , >> , ne93-ne96 ,  ,  , 
R_22 , S35 , S50 , >> , ne95-ne95 ,  ,  , 
R_23 , S37 , S76 , << , ne97-ne77 ,  ,  , 
R_24 , S37 , S72 , << , ne97-ne21 ,  ,  , 
R_25 , S38 , S23 , >> , ne98-ne105 ,  ,  , 
R_26 , S40 , S126 , << , ne101-ne100 ,  ,  , 
R_27 , S41 , S90 , << , [-] ,  ,  , 
R_28 , S42 , S68 , << , ne106-ne99 ,  ,  , 
R_29 , S43 , S46 , >> , ne7-ne9 ,  ,  , 
R_30 , S46 , S35 , >> , ne9-ne95 ,  ,  , 
R_31 , S50 , S83 , >> , ne95-ne59 ,  ,  , 
R_32 , S51 , S80 , << , ne95-ne9 ,  ,  , 
R_33 , S56 , S119 , << , ne83-ne30 ,  ,  , 
R_34 , S57 , S100 , >> , ne83-ne32 ,  ,  , 
R_35 , S60 , S27 , << , ne23-ne26 ,  ,  , 
R_36 , S63 , S41 , >> , ne24-ne103 ,  ,  , 
R_37 , S64 , S32 , << , ne67-ne70 ,  ,  , 
R_38 , S65 , S41 , >> , ne67-ne103 ,  ,  , 
R_39 , S66 , S51 , << , ne17-ne95 ,  ,  , 
R_40 , S67 , S33 , >> , ne17-ne78 ,  ,  , 
R_41 , S68 , S37 , << , ne99-ne97 ,  ,  , 
R_42 , S69 , S03 , >> , ne99-ne4 ,  ,  , 
R_43 , S70 , S110 , << , ne96-ne78 ,  ,  , 
R_44 , S71 , S38 , >> , ne96-ne98 ,  ,  , 
R_45 , S72 , S32 , << , ne21-ne70 ,  ,  , 
R_46 , S73 , S33 , >> , ne21-ne78 ,  ,  , 
R_47 , S73 , S69 , >> , ne21-ne99 ,  ,  , 
R_48 , S76 , S86 , << , ne77-ne52 ,  ,  , 
R_49 , S77 , S33 , >> , ne77-ne78 ,  ,  , 
R_50 , S77 , S69 , >> , ne77-ne99 ,  ,  , 
R_51 , S78 , S46 , >> , ne1-ne9 ,  ,  , 
R_52 , S80 , S01 , << , ne9-ne1 ,  ,  , 
R_53 , S80 , S05 , << , ne9-ne7 ,  ,  , 
R_54 , S83 , S77 , >> , ne59-ne77 ,  ,  , 
R_55 , S83 , S67 , >> , ne59-ne17 ,  ,  , 
R_56 , S86 , S51 , << , ne52-ne95 ,  ,  , 
R_57 , S86 , S07 , << , ne52-ne14 ,  ,  , 
R_58 , S89 , S41 , >> , ne23-ne103 ,  ,  , 
R_59 , S90 , S60 , << , ne64-ne23 ,  ,  , 
R_60 , S90 , S27 , << , ne64-ne26 ,  ,  , 
R_61 , S92 , S63 , >> , ne24-ne24 ,  ,  , 
R_62 , S93 , S89 , >> , ne26-ne23 ,  ,  , 
R_63 , S93 , S92 , >> , ne26-ne24 ,  ,  , 
R_64 , S96 , S119 , << , ne29-ne30 ,  ,  , 
R_65 , S97 , S124 , >> , ne30-ne110 ,  ,  , 
R_66 , S97 , S57 , >> , ne30-ne83 ,  ,  , 
R_67 , S100 , S124 , >> , ne32-ne110 ,  ,  , 
R_68 , S101 , S96 , << , ne29-ne29 ,  ,  , 
R_69 , S102 , S113 , << , ne110-ne32 ,  ,  , 
R_70 , S102 , S101 , << , ne110-ne29 ,  ,  , 
R_71 , S104 , S28 , << , ne102-ne44 ,  ,  , 
R_72 , S105 , S29 , >> , ne44-ne48 ,  ,  , 
R_73 , S105 , S93 , >> , ne44-ne26 ,  ,  , 
R_74 , S110 , S66 , << , ne78-ne17 ,  ,  , 
